instance anchor smt mx
ann-thyroid.0  1.030  0.632  0.063
ann-thyroid.1  2.690  0.174  0.064
ann-thyroid.2  2.169  0.084  0.071
ann-thyroid.3  1.190  0.080  0.064
ann-thyroid.4  1.163  0.125  0.064
ann-thyroid.5  1.201  1.134  0.072
ann-thyroid.6  1.149  0.060  0.071
ann-thyroid.7  1.221  0.046  0.071
ann-thyroid.8  1.121  0.045  0.064
ann-thyroid.9  1.170  2.778  0.407
ann-thyroid.10  12.928  0.554  0.313
ann-thyroid.11  11.915  0.708  0.430
ann-thyroid.12  1.035  0.055  0.063
ann-thyroid.13  0.635  0.058  0.064
ann-thyroid.14  2.661  0.081  0.062
ann-thyroid.15  1.779  0.058  0.062
ann-thyroid.16  1.429  0.045  0.065
ann-thyroid.17  1.360  0.048  0.063
ann-thyroid.18  11.318  0.191  0.342
ann-thyroid.19  1.713  1.224  0.065
ann-thyroid.20  1.161  0.052  0.063
ann-thyroid.21  1.191  0.043  0.061
ann-thyroid.22  1.206  0.051  0.063
ann-thyroid.23  1.145  0.053  0.064
ann-thyroid.24  1.233  0.048  0.063
ann-thyroid.25  1.493  0.054  0.062
ann-thyroid.26  1.576  0.051  0.065
ann-thyroid.27  1.279  0.044  0.063
ann-thyroid.28  1.129  0.052  0.064
ann-thyroid.29  1.161  0.049  0.063
ann-thyroid.30  1.187  0.046  0.064
ann-thyroid.31  1.230  0.051  0.063
ann-thyroid.32  1.209  0.043  0.062
ann-thyroid.33  1.239  0.044  0.063
ann-thyroid.34  1.542  0.051  0.062
ann-thyroid.35  23.458  0.370  0.491
ann-thyroid.36  1.201  0.062  0.066
ann-thyroid.37  1.119  0.473  0.063
ann-thyroid.38  1.065  0.044  0.063
ann-thyroid.39  1.119  0.051  0.061
ann-thyroid.40  1.123  0.042  0.065
ann-thyroid.41  10.563  0.279  0.327
ann-thyroid.42  1.154  0.092  0.063
ann-thyroid.43  1.187  0.045  0.064
ann-thyroid.44  1.219  0.046  0.064
ann-thyroid.45  1.172  0.689  0.063
ann-thyroid.46  1.752  0.061  0.065
ann-thyroid.47  0.611  0.047  0.062
ann-thyroid.48  1.045  0.045  0.063
ann-thyroid.49  1.127  0.071  0.064
ann-thyroid.50  1.074  0.771  0.065
ann-thyroid.51  1.106  0.045  0.062
ann-thyroid.52  1.860  0.040  0.065
ann-thyroid.53  1.086  0.040  0.062
ann-thyroid.54  0.950  0.055  0.063
ann-thyroid.55  0.384  0.043  0.062
ann-thyroid.56  0.606  0.041  0.063
ann-thyroid.57  9.471  0.363  0.347
ann-thyroid.58  1.216  0.045  0.063
ann-thyroid.59  1.219  0.042  0.063
ann-thyroid.60  1.412  0.367  0.173
ann-thyroid.61  15.276  0.125  0.320
ann-thyroid.62  1.197  0.054  0.063
ann-thyroid.63  1.146  0.472  0.069
ann-thyroid.64  1.152  0.039  0.062
ann-thyroid.65  2.677  0.046  0.063
ann-thyroid.66  1.072  0.216  0.068
ann-thyroid.67  1.147  0.043  0.062
ann-thyroid.68  1.181  0.037  0.063
ann-thyroid.69  1.121  0.045  0.069
ann-thyroid.70  1.119  0.108  0.062
ann-thyroid.71  15.905  0.290  0.445
ann-thyroid.72  1.116  0.044  0.063
ann-thyroid.73  1.147  0.048  0.063
ann-thyroid.74  1.159  0.042  0.063
ann-thyroid.75  17.652  0.354  0.454
ann-thyroid.76  12.802  0.150  0.338
ann-thyroid.77  1.182  0.045  0.069
ann-thyroid.78  1.269  0.236  0.069
ann-thyroid.79  1.215  0.043  0.068
ann-thyroid.80  11.548  0.430  0.426
ann-thyroid.81  2.246  0.054  0.063
ann-thyroid.82  1.368  0.047  0.063
ann-thyroid.83  1.244  0.040  0.069
ann-thyroid.84  1.309  0.040  0.067
ann-thyroid.85  1.175  0.144  0.068
ann-thyroid.86  1.131  0.043  0.063
ann-thyroid.87  1.230  0.041  0.063
ann-thyroid.88  1.216  0.046  0.064
ann-thyroid.89  1.390  0.044  0.064
ann-thyroid.90  1.433  0.121  0.063
ann-thyroid.91  1.210  0.043  0.063
ann-thyroid.92  1.270  0.053  0.069
ann-thyroid.93  1.135  0.051  0.069
ann-thyroid.94  1.174  0.042  0.064
ann-thyroid.95  1.149  0.041  0.063
ann-thyroid.96  1.183  0.048  0.062
ann-thyroid.97  1.391  0.403  0.195
ann-thyroid.98  1.215  0.046  0.069
ann-thyroid.99  1.256  0.067  0.063
ann-thyroid.100  1.282  0.043  0.063
ann-thyroid.101  1.212  0.041  0.063
ann-thyroid.102  1.237  0.040  0.063
ann-thyroid.103  1.246  0.042  0.062
ann-thyroid.104  1.203  0.041  0.063
ann-thyroid.105  1.118  0.057  0.062
ann-thyroid.106  1.234  0.044  0.069
ann-thyroid.107  1.135  0.172  0.064
ann-thyroid.108  1.562  0.042  0.063
ann-thyroid.109  1.096  0.043  0.062
ann-thyroid.110  1.220  0.046  0.069
ann-thyroid.111  1.154  0.079  0.061
ann-thyroid.112  1.473  0.118  0.067
ann-thyroid.113  1.226  0.048  0.061
ann-thyroid.114  1.074  0.047  0.065
ann-thyroid.115  0.982  0.042  0.069
ann-thyroid.116  1.305  0.074  0.183
ann-thyroid.117  1.106  0.043  0.065
ann-thyroid.118  1.099  0.043  0.068
ann-thyroid.119  1.841  0.044  0.063
ann-thyroid.120  1.220  0.045  0.069
ann-thyroid.121  1.189  0.041  0.064
ann-thyroid.122  8.235  0.185  0.323
ann-thyroid.123  18.317  0.128  0.321
ann-thyroid.124  1.433  0.086  0.063
ann-thyroid.125  1.175  0.041  0.069
ann-thyroid.126  1.191  0.254  0.065
ann-thyroid.127  0.996  0.044  0.062
ann-thyroid.128  1.098  0.337  0.068
ann-thyroid.129  1.242  0.041  0.063
ann-thyroid.130  2.273  0.044  0.070
ann-thyroid.131  0.597  0.041  0.063
ann-thyroid.132  0.984  0.042  0.063
ann-thyroid.133  16.920  0.412  0.402
ann-thyroid.134  0.655  0.045  0.063
ann-thyroid.135  11.661  0.279  0.335
ann-thyroid.136  1.241  0.128  0.063
ann-thyroid.137  1.239  0.045  0.069
ann-thyroid.138  16.435  0.275  0.431
ann-thyroid.139  1.251  0.046  0.063
ann-thyroid.140  1.382  0.040  0.063
ann-thyroid.141  1.236  0.043  0.069
ann-thyroid.142  1.211  0.060  0.069
ann-thyroid.143  1.212  0.088  0.070
ann-thyroid.144  1.846  0.044  0.069
ann-thyroid.145  1.311  0.042  0.065
ann-thyroid.146  1.148  0.041  0.062
ann-thyroid.147  1.186  0.043  0.069
ann-thyroid.148  1.406  0.044  0.062
ann-thyroid.149  1.349  0.053  0.070
ann-thyroid.150  1.217  0.139  0.063
ann-thyroid.151  1.229  0.064  0.069
ann-thyroid.152  1.318  0.061  0.314
ann-thyroid.153  1.234  0.047  0.069
ann-thyroid.154  1.265  0.043  0.069
ann-thyroid.155  1.271  0.043  0.069
ann-thyroid.156  1.226  0.051  0.069
ann-thyroid.157  1.227  0.046  0.069
ann-thyroid.158  1.142  0.131  0.070
ann-thyroid.159  1.182  0.050  0.069
ann-thyroid.160  1.260  0.041  0.069
ann-thyroid.161  1.223  0.042  0.069
ann-thyroid.162  1.160  0.042  0.070
ann-thyroid.163  1.089  0.043  0.069
ann-thyroid.164  1.257  0.042  0.070
ann-thyroid.165  22.112  0.435  0.460
ann-thyroid.166  1.233  0.046  0.063
ann-thyroid.167  1.243  0.041  0.069
ann-thyroid.168  1.230  0.045  0.069
ann-thyroid.169  1.223  0.043  0.072
ann-thyroid.170  3.223  0.042  0.070
ann-thyroid.171  20.596  0.206  0.456
ann-thyroid.172  1.219  0.045  0.069
ann-thyroid.173  1.252  0.041  0.070
ann-thyroid.174  1.206  0.043  0.069
ann-thyroid.175  1.415  0.043  0.111
ann-thyroid.176  1.222  0.042  0.069
ann-thyroid.177  1.223  0.101  0.065
ann-thyroid.178  10.673  0.175  0.337
ann-thyroid.179  1.222  0.050  0.070
ann-thyroid.180  1.212  0.045  0.070
ann-thyroid.181  11.495  0.243  0.323
ann-thyroid.182  19.647  0.192  0.400
